epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,596.15,0.62329,0.51645,0.94021,0.93318,0.85049,0.90731,0.77811,0.61673,0.53377,0.91178,0.0008647,0.0008647,0.0008647
43,609.5,0.66491,0.53812,0.95159,0.98264,0.84463,0.90704,0.77204,0.62389,0.57199,0.93758,0.0008614,0.0008614,0.0008614
44,621.441,0.6304,0.51037,0.9349,0.98009,0.8641,0.92034,0.79148,0.59849,0.50962,0.90092,0.0008581,0.0008581,0.0008581
45,634.248,0.63923,0.52779,0.95231,0.93059,0.87658,0.91479,0.78533,0.60449,0.52221,0.91246,0.0008548,0.0008548,0.0008548
46,645.812,0.6161,0.5001,0.94263,0.88051,0.79121,0.85449,0.71373,0.67295,0.67665,0.95527,0.0008515,0.0008515,0.0008515
47,657.881,0.61033,0.50592,0.93964,0.94989,0.85686,0.90031,0.77985,0.58162,0.56105,0.90433,0.0008482,0.0008482,0.0008482
48,669.765,0.58493,0.49108,0.93119,0.95658,0.85127,0.9078,0.78589,0.58483,0.50679,0.91588,0.0008449,0.0008449,0.0008449
49,682.1,0.60377,0.49773,0.93288,0.94994,0.85121,0.89951,0.78004,0.59807,0.53086,0.91582,0.0008416,0.0008416,0.0008416
50,694.314,0.60741,0.48893,0.93192,0.9546,0.85144,0.90267,0.79102,0.59284,0.52361,0.90823,0.0008383,0.0008383,0.0008383
51,705,0.61549,0.50316,0.93724,0.9708,0.89072,0.92449,0.82062,0.55319,0.46483,0.90173,0.000835,0.000835,0.000835
52,714.337,0.61662,0.50377,0.93589,0.94872,0.88957,0.93002,0.82309,0.53113,0.4624,0.91416,0.0008317,0.0008317,0.0008317
53,723.467,0.59534,0.47161,0.92447,0.9399,0.88495,0.91481,0.8072,0.54674,0.47839,0.89826,0.0008284,0.0008284,0.0008284
54,733.282,0.59306,0.48176,0.93287,0.96552,0.86658,0.91332,0.79578,0.59068,0.51232,0.90846,0.0008251,0.0008251,0.0008251
55,742.421,0.58268,0.47924,0.92291,0.93437,0.86535,0.91237,0.79166,0.57954,0.51858,0.89509,0.0008218,0.0008218,0.0008218
56,751.882,0.57593,0.46504,0.92005,0.9783,0.8426,0.91709,0.80148,0.58253,0.50535,0.8976,0.0008185,0.0008185,0.0008185
57,761.566,0.59763,0.49782,0.92372,0.95175,0.84832,0.91886,0.8008,0.56647,0.48683,0.88974,0.0008152,0.0008152,0.0008152
58,771.19,0.58969,0.48831,0.92102,0.94316,0.87561,0.92192,0.81044,0.54428,0.47298,0.89306,0.0008119,0.0008119,0.0008119
59,780.672,0.6016,0.48086,0.92381,0.96569,0.87182,0.92137,0.81875,0.53021,0.46191,0.88281,0.0008086,0.0008086,0.0008086
60,790.472,0.5883,0.47338,0.93576,0.95897,0.87488,0.91903,0.8119,0.53091,0.45344,0.8829,0.0008053,0.0008053,0.0008053
61,800.472,0.58291,0.46846,0.93162,0.95107,0.84561,0.91564,0.80011,0.55036,0.47958,0.88911,0.000802,0.000802,0.000802
62,810.034,0.57188,0.46282,0.91551,0.98408,0.84592,0.91884,0.79624,0.5597,0.49073,0.90031,0.0007987,0.0007987,0.0007987
63,819.84,0.55792,0.45298,0.91654,0.97823,0.85685,0.91432,0.79704,0.58696,0.50155,0.92912,0.0007954,0.0007954,0.0007954
64,829.812,0.5649,0.46535,0.9203,0.97934,0.87145,0.92524,0.80974,0.56432,0.45973,0.90568,0.0007921,0.0007921,0.0007921
65,840.364,0.56795,0.44853,0.91819,0.97664,0.86513,0.92379,0.81243,0.5357,0.46381,0.87753,0.0007888,0.0007888,0.0007888
66,849.819,0.55522,0.43928,0.90992,0.93895,0.8943,0.92865,0.82652,0.5211,0.44506,0.89276,0.0007855,0.0007855,0.0007855
67,860.256,0.54792,0.44049,0.90992,0.97739,0.85415,0.9249,0.80977,0.53647,0.4696,0.89331,0.0007822,0.0007822,0.0007822
68,873.265,0.55753,0.43383,0.91386,0.97087,0.87032,0.92004,0.81079,0.55676,0.47117,0.89716,0.0007789,0.0007789,0.0007789
